step,type,amount,nameOrig,nameDest,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
1,PAYMENT,9839.64,C1231006815,M1979787155,170136.0,160296.36,0.0,0.0,0.0
1,PAYMENT,1864.28,C1666544295,M2044282225,21249.0,19384.72,0.0,0.0,0.0
1,TRANSFER,181.0,C1305486145,C553264065,181.0,0.0,0.0,0.0,1.0
1,CASH_OUT,181.0,C840083671,C38997010,181.0,0.0,21182.0,0.0,1.0
1,PAYMENT,11668.14,C2048537720,M1230701703,41554.0,29885.86,0.0,0.0,0.0
1,PAYMENT,7817.71,C90045638,M573487274,53860.0,46042.29,0.0,0.0,0.0
1,PAYMENT,7107.77,C154988899,M408069119,183195.0,176087.23,0.0,0.0,0.0
1,PAYMENT,7861.64,C1912850431,M633326333,176087.23,168225.59,0.0,0.0,0.0
1,PAYMENT,4024.36,C1265012928,M1176932104,2671.0,0.0,0.0,0.0,0.0
1,DEBIT,9644.94,C1900366749,C997608398,4465.0,0.0,10845.0,157982.12,0.0
1,PAYMENT,3099.97,C249177573,M2096539129,20771.0,17671.03,0.0,0.0,0.0
1,PAYMENT,2560.74,C1648232591,M972865270,5070.0,2509.26,0.0,0.0,0.0
1,PAYMENT,11633.76,C1716932897,M801569151,10127.0,0.0,0.0,0.0,0.0
1,PAYMENT,4098.78,C1026483832,M1635378213,503264.0,499165.22,0.0,0.0,0.0
1,CASH_OUT,229133.94,C905080434,C476402209,15325.0,0.0,5083.0,51513.44,0.0
1,PAYMENT,1563.82,C761750706,M1731217984,450.0,0.0,0.0,0.0,0.0
1,PAYMENT,1157.86,C1237762639,M1877062907,21156.0,19998.14,0.0,0.0,0.0
1,PAYMENT,671.64,C2033524545,M473053293,15123.0,14451.36,0.0,0.0,0.0
1,TRANSFER,215310.3,C1670993182,C1100439041,705.0,0.0,22425.0,0.0,0.0
1,PAYMENT,1373.43,C20804602,M1344519051,13854.0,12480.57,0.0,0.0,0.0
1,DEBIT,9302.79,C1566511282,C1973538135,11299.0,1996.21,29832.0,16896.7,0.0
1,DEBIT,1065.41,C1959239586,C515132998,1817.0,751.59,10330.0,0.0,0.0
1,PAYMENT,3876.41,C504336483,M1404932042,67852.0,63975.59,0.0,0.0,0.0
1,TRANSFER,311685.89,C1984094095,C932583850,10835.0,0.0,6267.0,2719172.89,0.0
1,PAYMENT,6061.13,C1043358826,M1558079303,443.0,0.0,0.0,0.0,0.0
1,PAYMENT,9478.39,C1671590089,M58488213,116494.0,107015.61,0.0,0.0,0.0
1,PAYMENT,8009.09,C1053967012,M295304806,10968.0,2958.91,0.0,0.0,0.0
1,PAYMENT,8901.99,C1632497828,M33419717,2958.91,0.0,0.0,0.0,0.0
1,PAYMENT,9920.52,C764826684,M1940055334,0.0,0.0,0.0,0.0,0.0
1,PAYMENT,3448.92,C2103763750,M335107734,0.0,0.0,0.0,0.0,0.0
