step,amount,nameOrig,nameDest,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,amount_ratio,round_amount,balance_error,transaction_count,avg_amount_user,amount_deviation,is_new_dest,time_bucket,odd_time,time_gap,velocity,dest_count,new_vendor_risk,first_digit,benford_flag,is_duplicate,threshold_flag,prev_amount,sudden_spike,rapid_txn_flag,self_transfer,name_similarity,fuzzy_flag,unique_receivers,multi_receiver_flag,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
1,2655.04,C10001825,C1850180796,21214.0,18558.96,1116396.05,1268668.92,0.0,0.1251491868960641,0,9.094947017729282e-13,1,2655.04,0.0,0,1,1,0.0,1.0,30,0,2,0,0,0,0.0,1,1,0,0.5,0,1,0,0,1,0,0
7,1980.51,C100033245,M945195126,388.0,0.0,0.0,0.0,0.0,5.091285347043701,0,1592.51,1,1980.51,0.0,1,7,0,0.0,1.0,1,1,1,0,0,0,0.0,1,1,0,0.2,0,1,0,0,0,1,0
5,67017.13,C1000600589,C1163619825,3942544.19,4009561.32,118844.67,51827.53,0.0,0.016998443079355042,0,134034.2599999999,1,67017.13,0.0,1,5,1,0.0,1.0,7,0,6,0,0,0,0.0,1,1,0,0.36363636363636365,0,1,0,0,0,0,0
6,1280020.98,C1000719581,C1262822392,0.0,0.0,13500000.0,16900000.0,0.0,1280020.98,0,1280020.98,1,1280020.98,0.0,0,6,0,0.0,1.0,29,0,1,0,0,0,0.0,1,1,0,0.2727272727272727,0,1,0,0,0,0,1
7,7860.26,C1001830827,M838403351,0.0,0.0,0.0,0.0,0.0,7860.26,0,7860.26,1,7860.26,0.0,1,7,0,0.0,1.0,1,1,7,1,0,0,0.0,1,1,0,0.2857142857142857,0,1,0,0,0,1,0
6,7350.01,C100196201,M484878781,2506.88,0.0,0.0,0.0,0.0,2.9307662248592434,0,4843.13,1,7350.01,0.0,1,6,0,0.0,1.0,1,1,7,1,0,0,0.0,1,1,0,0.1,0,1,0,0,0,1,0
1,2444.49,C1002041276,M485475507,31454.0,29009.51,0.0,0.0,0.0,0.07771387696709585,0,1.8189894035458565e-12,1,2444.49,0.0,1,1,1,0.0,1.0,1,1,2,0,0,0,0.0,1,1,0,0.19047619047619047,0,1,0,0,0,1,0
3,6064.7,C1002872041,M180017308,31164.0,25099.3,0.0,0.0,0.0,0.19459971121450345,0,9.094947017729282e-13,1,6064.7,0.0,1,3,1,0.0,1.0,1,1,6,0,0,0,0.0,1,1,0,0.38095238095238093,0,1,0,0,0,1,0
1,1246.74,C1002911155,M1467977993,1468.0,221.26,0.0,0.0,0.0,0.8486997957794418,0,0.0,1,1246.74,0.0,1,1,1,0.0,1.0,1,1,1,0,0,0,0.0,1,1,0,0.18181818181818182,0,1,0,0,0,1,0
6,1556.49,C1003000306,C1917025677,22131.0,20574.51,61994.82,63551.31,0.0,0.07032757997469727,0,1.5916157281026244e-12,1,1556.49,0.0,1,6,0,0.0,1.0,6,0,1,0,0,0,0.0,1,1,0,0.36363636363636365,0,1,0,0,1,0,0
1,871.75,C1003206025,M989889899,19869.0,18997.25,0.0,0.0,0.0,0.04387267237040765,0,0.0,1,871.75,0.0,1,1,1,0.0,1.0,1,1,8,1,0,0,0.0,1,1,0,0.0,0,1,0,0,0,1,0
1,264.93,C1003307628,M1595188851,0.0,0.0,0.0,0.0,0.0,264.93,0,264.93,1,264.93,0.0,1,1,1,0.0,1.0,1,1,2,0,0,0,0.0,1,1,0,0.18181818181818182,0,1,0,0,0,1,0
7,8770.72,C1003603952,M1995054261,0.0,0.0,0.0,0.0,0.0,8770.72,0,8770.72,1,8770.72,0.0,1,7,0,0.0,1.0,1,1,8,1,0,0,0.0,1,1,0,0.36363636363636365,0,1,0,0,0,1,0
2,132382.57,C1003663195,C991505714,2408.0,0.0,0.0,1095914.71,0.0,54.9533291822333,0,129974.57,1,132382.57,0.0,0,2,1,0.0,1.0,19,0,1,0,0,0,0.0,1,1,0,0.38095238095238093,0,1,0,1,0,0,0
1,9029.12,C1003755748,M1414013111,25480.0,16450.88,0.0,0.0,0.0,0.3543471606294887,0,1.8189894035458565e-12,1,9029.12,0.0,1,1,1,0.0,1.0,1,1,9,1,0,0,0.0,1,1,0,0.2727272727272727,0,1,0,0,0,1,0
7,45656.63,C1004229504,C1609562230,2986.51,0.0,4515203.08,11100000.0,0.0,15.28250282007424,0,42670.119999999995,1,45656.63,0.0,1,7,0,0.0,1.0,4,1,4,0,0,0,0.0,1,1,0,0.5454545454545454,0,1,0,0,0,0,1
6,25975.86,C1004271827,C451934410,25975.86,0.0,98152.0,28041.27,1.0,0.9999615042002767,0,0.0,1,25975.86,0.0,1,6,0,0.0,1.0,2,1,2,0,0,0,0.0,1,1,0,0.2857142857142857,0,1,0,1,0,0,0
1,1617.9,C1004430079,M1379148981,507865.0,506247.1,0.0,0.0,0.0,0.0031856828375988943,0,2.319211489520967e-11,1,1617.9,0.0,1,1,1,0.0,1.0,1,1,1,0,0,0,0.0,1,1,0,0.36363636363636365,0,1,0,0,0,1,0
1,59390.46,C100445376,C977993101,0.0,0.0,73791.34,965870.05,0.0,59390.46,0,59390.46,1,59390.46,0.0,0,1,1,0.0,1.0,44,0,5,0,0,0,0.0,1,1,0,0.3,0,1,0,1,0,0,0
7,11168.84,C1004728150,M1518422518,300433.0,289264.16,0.0,0.0,0.0,0.0371756858411498,0,2.546585164964199e-11,1,11168.84,0.0,1,7,0,0.0,1.0,1,1,1,0,0,0,0.0,1,1,0,0.18181818181818182,0,1,0,0,0,1,0
6,18432.04,C1004826012,M1104705467,39293.0,20860.96,0.0,0.0,0.0,0.4690802667073854,0,0.0,1,18432.04,0.0,1,6,0,0.0,1.0,1,1,1,0,0,0,0.0,1,1,0,0.45454545454545453,0,1,0,0,0,1,0
7,5341.97,C1004931143,M434791924,54487.13,49145.16,0.0,0.0,0.0,0.09803915091231798,0,6.366462912410498e-12,1,5341.97,0.0,1,7,0,0.0,1.0,1,1,5,0,0,0,0.0,1,1,0,0.19047619047619047,0,1,0,0,0,1,0
5,2166.22,C1005063886,C1937962514,206562.0,204395.78,8383.29,10549.51,0.0,0.010486970076925683,0,1.3642420526593924e-12,1,2166.22,0.0,1,5,1,0.0,1.0,3,1,2,0,0,0,0.0,1,1,0,0.2727272727272727,0,1,0,0,1,0,0
7,238928.64,C1005209486,C590842329,5876994.96,6115923.6,327458.82,26044.72,0.0,0.040654892674113735,0,477857.2799999997,1,238928.64,0.0,1,7,0,0.0,1.0,2,1,2,0,0,0,0.0,1,1,0,0.38095238095238093,0,1,0,0,0,0,0
7,6998.25,C1005445961,M1343837945,20601.0,13602.75,0.0,0.0,0.0,0.3396878943791865,0,0.0,1,6998.25,0.0,1,7,0,0.0,1.0,1,1,6,0,0,0,0.0,1,1,0,0.36363636363636365,0,1,0,0,0,1,0
6,6469.74,C1005591041,M698133256,126.0,0.0,0.0,0.0,0.0,50.942834645669286,0,6343.74,1,6469.74,0.0,1,6,0,0.0,1.0,1,1,6,0,0,0,0.0,1,1,0,0.19047619047619047,0,1,0,0,0,1,0
7,3805.94,C1005782739,M5308857,0.0,0.0,0.0,0.0,0.0,3805.94,0,3805.94,1,3805.94,0.0,1,7,0,0.0,1.0,1,1,3,0,0,0,0.0,1,1,0,0.3157894736842105,0,1,0,0,0,1,0
7,134103.27,C1005891608,C365212068,12575.25,0.0,169425.4,355690.69,0.0,10.663215982506708,0,121528.01999999999,1,134103.27,0.0,1,7,0,0.0,1.0,4,1,1,0,0,0,0.0,1,1,0,0.38095238095238093,0,1,0,1,0,0,0
3,344106.28,C1006297128,C1789550256,1285034.84,1629141.12,3496462.74,2943614.6,0.0,0.26777951967471975,0,688212.56,1,344106.28,0.0,0,3,1,0.0,1.0,40,0,3,0,0,0,0.0,1,1,0,0.36363636363636365,0,1,0,0,0,0,0
7,9463.64,C1006546317,M1469692066,30337.0,20873.36,0.0,0.0,0.0,0.3119401410771969,0,0.0,1,9463.64,0.0,1,7,0,0.0,1.0,1,1,9,1,0,0,0.0,1,1,0,0.36363636363636365,0,1,0,0,0,1,0
1,1213.64,C1006624255,M1721180011,86078.0,84864.36,0.0,0.0,0.0,0.01409914148630909,0,6.821210263296962e-13,1,1213.64,0.0,1,1,1,0.0,1.0,1,1,1,0,0,0,0.0,1,1,0,0.2727272727272727,0,1,0,0,0,1,0
1,377287.8,C100708535,C985934102,5110945.41,5488233.21,2256095.33,971418.91,0.0,0.073819557031904,0,754575.5999999999,1,377287.8,0.0,0,1,1,0.0,1.0,62,0,3,0,0,0,0.0,1,1,0,0.3,0,1,0,0,0,0,0
7,12333.76,C1007094494,M196298876,293241.0,280907.24,0.0,0.0,0.0,0.042060005047026006,0,9.094947017729282e-12,1,12333.76,0.0,1,7,0,0.0,1.0,1,1,1,0,0,0,0.0,1,1,0,0.19047619047619047,0,1,0,0,0,1,0
1,5983.51,C1007402143,M320321288,48974.0,42990.49,0.0,0.0,0.0,0.12217478305257785,0,1.8189894035458565e-12,1,5983.51,0.0,1,1,1,0.0,1.0,1,1,5,0,0,0,0.0,1,1,0,0.2857142857142857,0,1,0,0,0,1,0
2,490747.67,C1007550632,C1870252780,0.0,0.0,7416184.79,7103899.5,0.0,490747.67,0,490747.67,1,490747.67,0.0,0,2,1,0.0,1.0,27,0,4,0,0,0,0.0,1,1,0,0.36363636363636365,0,1,0,0,0,0,1
1,553.25,C1007660652,M1276544608,7522.0,6968.75,0.0,0.0,0.0,0.07354114050245912,0,0.0,1,553.25,0.0,1,1,1,0.0,1.0,1,1,5,0,0,0,0.0,1,1,0,0.45454545454545453,0,1,0,0,0,1,0
